Lon,Lat,Clave,Edo,Est,Tmed
-99.2,19.3,DATDF,DF,DESVIACION ALTA,12.8
-104.6,24.09,76423,DGO,DURANGO,12.1
-104.66,24.03,DRGDR,DGO,DURANGO,12.2
-98.2,18.98,ECHPB,PUE,ECHEVERRIA,14.7
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,16.3
-99.12,24.08,BR1TP,TAMPS,EL BARRERAL 1,14.7
-99.21,24.1,BRRTP,TAMPS,EL BARRETAL,14.2
-110.73,29.47,CJNSO,SON,EL CAJON,16.5
-116.7,32.48,CRRBN,BC,EL CARRIZO,17.4
-109.33,26.1,CRRSI,SIN,EL CARRIZO,17.8
-103.09,23.69,ELCZC,ZAC,EL CAZADERO,11.3
-102.89,22,CHIZC,ZAC,EL CHIQUE,17.2
-109.23,29.2,ECBSO,SON,EL CUBIL,16.9
-87.78,21.51,CYOYC,YUC,EL CUYO,23.0
-108.61,26.43,EFTSI,SIN,EL FUERTE,20.2
-100.45,19.96,EGIMC,MICH,EL GIGANTE,14.4
-98.44,21.77,HGOVC,VER,EL HIGO,16.9
-110.43,29.4,PMOSO,SON,EL MOLINITO,19.0
-102.44,21.77,NGRAG,AGS,EL NIAGARA,13.3
-98.51,21.84,OLVVC,VER,EL OLIVO,16.6
-110.7,29.22,ORGSO,SON,EL OREGANO,20.0
-92.81,18.04,EPOTB,TAB,EL PORVENIR,22.1
-98.93,21.84,PUJSL,SLP,EL PUJAL,17.3
-102.04,22.67,ELSZC,ZAC,EL SALADILLO,10.0
-106.69,24.12,SLTSI,SIN,EL SALTO (AURELIO BENASSINI),23.3
-91.78,17.74,EMILIANOZAPATA,TAB,EMILIANO ZAPATA,21.7
-89.58,20.98,EZAYC,YUC,EMILIANO ZAPATA,21.7
-116.16,31.1,ELZBN,BC,EMILIO LOPEZ ZAMORA,16.1
-110.8,27.95,76256,SON,EMPALME,19.2
-110.8,27.95,EPLSO,SON,EMPALME                             *,19.9
-90.74,18.6,ESCCA,CAMP,ESCARCEGA,22.3
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,22.5
-99.23,21.9,GANSL,SLP,GALLINAS,16.0
-105.13,20.88,GAVNR,NAY,GAVIOTAS,23.2
-102.46,22.49,GRCZC,ZAC,GENARO CODINA,9.2
-105.25,25.5,GESDR,DGO,GENERAL ESCOBEDO,11.2
-89.65,20.98,GARYC,YUC,GERENCIA REGIONAL,21.2
-93,17.97,GONTB,TAB,GONZALEZ,21.4
-93.12,16.97,GRICP,CHIS,GRIJALVA,21.5
-103.39,20.71,76612,JAL,GUADALAJARA,15.3
-103.4,20.7,GUCJL,JAL,GUADALAJARA COLOMUS,15.7
-102.51,22.75,GPEZC,ZAC,GUADALUPE,12.0
-108.09,25.46,GMCSI,SIN,GUAMUCHIL,20.8
-105.96,25.93,GNCDR,DGO,GUANACEVIT,6.9
-101.29,21.01,76577,GTO,GUANAJUATO,14.0
-101.26,21.01,GTOGJ,GTO,GUANAJUATO,14.5
-108.3,29.2,GPCCH,CHIH,GUAPOCA,10.1
-108.46,25.71,GSVSI,SIN,GUASAVE,20.2
-107.22,25.34,GTNSI,SIN,GUATENIPA,23.6
-110.85,27.95,GYMSO,SON,GUAYMAS,18.4
-90.14,20.19,HECCA,CAMP,HECELCHAKAN,22.1
-110.93,29.08,76160,SON,HERMOSILLO,18.8
-110.92,29.07,HMNSO,SON,HERMOSILLO,21.3
-110.92,29.07,HM2SO,SON,HERMOSILLO OBS.,20.2
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,11.6
-109.33,25.98,HDZSI,SIN,HIGERA DE ZARAGOZA,21.5
-99.18,18.57,HIGMR,MOR,HIGUERON,19.5
-89.84,19.75,HPOCA,CAMP,HOPELCHEN,21.1
-108.95,30.21,HSHSO,SON,HUACHINERA,9.5
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,16.2
-97.76,17.8,HDLOX,OAX,HUAJUAPAN DE LEON,16.3
-98.53,18.76,HQCPB,PUE,HUAQUECHULA,17.6
-98.05,20.18,HUAPB,PUE,HUAUCHINANGO,11.2
-99.02,18.44,HUTMR,MOR,HUAUTLA,19.3
-98.45,19.1,HJTPB,PUE,HUEJOTZINGO,12.1
-98.41,21.15,HJTHD,HGO,HUEJUTLA,17.7
-99.64,20.37,HCPHD,HGO,HUICHAPAN,11.4
-99.01,19.02,HUIMR,MOR,HUITZILAC,12.0
-92.47,15.13,HUICP,CHIS,HUIXTLA,27.2
-96.55,19.4,IDOVC,VER,IDOLOS,21.9
-99.55,18.34,IGLGR,GRO,IGUALA,22.8
-101.35,20.68,IRPGJ,GTO,IRAPUATO,15.4
-99.22,20.48,IXMHD,HGO,IXMIQUILPAN,15.7
-106.59,23.95,IXPSI,SIN,IXPALINO,22.7
